,open,high,low,close,adjclose,volume,ticker
1996-01-01,11.580204963684082,11.662232398986816,11.488529205322266,11.628456115722656,6.211941719055176,33160.0,TATAPOWER.NS
1996-01-02,11.628456115722656,11.739433288574219,11.396851539611816,11.48370361328125,6.13461446762085,176162.0,TATAPOWER.NS
1996-01-03,11.48370361328125,11.599506378173828,11.392026901245117,11.411327362060547,6.095949172973633,104661.0,TATAPOWER.NS
1996-01-04,11.411327362060547,11.387202262878418,11.155597686767578,11.242448806762695,6.005735874176025,77718.0,TATAPOWER.NS
1996-01-05,11.242448806762695,11.48370361328125,11.097697257995605,11.46440315246582,6.124303340911865,113469.0,TATAPOWER.NS
1996-01-08,11.46440315246582,11.652582168579102,11.314826011657715,11.560905456542969,6.175854682922363,863715.0,TATAPOWER.NS
1996-01-09,11.560905456542969,11.821459770202637,11.29069995880127,11.729783058166504,6.2660698890686035,315538.0,TATAPOWER.NS
1996-01-10,11.729783058166504,11.83593463897705,11.488529205322266,11.628456115722656,6.211941719055176,764753.0,TATAPOWER.NS
1996-01-11,11.628456115722656,12.159215927124023,11.628456115722656,12.053064346313477,6.438767910003662,251290.0,TATAPOWER.NS
1996-01-12,12.053064346313477,12.328093528747559,12.062713623046875,12.294318199157715,6.567646026611328,1237801.0,TATAPOWER.NS
1996-01-15,12.294318199157715,12.31844425201416,12.014463424682617,12.313617706298828,6.57795524597168,1161119.0,TATAPOWER.NS
1996-01-16,12.313617706298828,12.178516387939453,11.980688095092773,12.135089874267578,6.482586860656738,298958.0,TATAPOWER.NS
1996-01-17,12.135089874267578,12.255717277526855,11.917961120605469,11.980688095092773,6.400104999542236,867860.0,TATAPOWER.NS
1996-01-18,11.980688095092773,12.159215927124023,11.589856147766113,12.115790367126465,6.472275733947754,959568.0,TATAPOWER.NS
1996-01-19,11.87453556060791,12.241242408752441,11.87453556060791,12.164040565490723,6.498052597045898,1247128.0,TATAPOWER.NS
1996-01-22,12.255717277526855,12.255717277526855,11.980688095092773,11.995162963867188,6.4078369140625,194815.0,TATAPOWER.NS
1996-01-23,11.995162963867188,12.159215927124023,11.917961120605469,12.135089874267578,6.482586860656738,219685.0,TATAPOWER.NS
1996-01-24,12.135089874267578,12.125439643859863,11.966212272644043,12.125439643859863,6.477431774139404,692215.0,TATAPOWER.NS
1996-01-25,12.125439643859863,12.159215927124023,12.014463424682617,12.062713623046875,6.443923473358154,311393.0,TATAPOWER.NS
1996-01-26,12.062713623046875,12.062713623046875,12.062713623046875,12.062713623046875,6.443923473358154,0.0,TATAPOWER.NS
1996-01-29,12.062713623046875,12.30396842956543,11.971036911010742,12.255717277526855,6.547025203704834,347662.0,TATAPOWER.NS
1996-01-30,12.255717277526855,12.448720932006836,12.188165664672852,12.31844425201416,6.5805344581604,705168.0,TATAPOWER.NS
1996-01-31,12.31844425201416,12.448720932006836,12.115790367126465,12.352218627929688,6.598578453063965,1188061.0,TATAPOWER.NS
1996-02-01,12.352218627929688,12.545223236083984,12.30396842956543,12.492147445678711,6.67332649230957,535223.0,TATAPOWER.NS
1996-02-02,12.492147445678711,13.365487098693848,12.738225936889648,13.225560188293457,7.065118789672852,1962659.0,TATAPOWER.NS
1996-02-05,13.225560188293457,13.606740951538086,13.008431434631348,13.129057884216309,7.0135650634765625,2445552.0,TATAPOWER.NS
1996-02-06,13.129057884216309,13.384787559509277,12.839552879333496,13.109758377075195,7.003255844116211,967340.0,TATAPOWER.NS
1996-02-07,13.109758377075195,13.413738250732422,12.931228637695312,13.114583015441895,7.00583028793335,268907.0,TATAPOWER.NS
1996-02-08,13.114583015441895,14.369105339050293,13.220734596252441,14.05064868927002,7.505881309509277,795322.0,TATAPOWER.NS
1996-02-09,14.05064868927002,14.354630470275879,13.703243255615234,14.161625862121582,7.5651655197143555,510353.0,TATAPOWER.NS
1996-02-12,14.161625862121582,14.571759223937988,13.703243255615234,14.098899841308594,7.5316572189331055,1025888.0,TATAPOWER.NS
1996-02-13,14.098899841308594,14.571759223937988,13.944498062133789,14.47525691986084,7.73270845413208,827964.0,TATAPOWER.NS
1996-02-14,14.47525691986084,15.633277893066406,14.668259620666504,15.305171966552734,8.17604923248291,1001018.0,TATAPOWER.NS
1996-02-15,15.305171966552734,15.633277893066406,14.962591171264648,15.22314453125,8.132230758666992,1354380.0,TATAPOWER.NS
1996-02-16,15.22314453125,15.247270584106445,14.668259620666504,14.735812187194824,7.871895790100098,444551.0,TATAPOWER.NS
1996-02-19,14.735812187194824,15.174894332885742,14.504206657409668,14.610359191894531,7.8048787117004395,330045.0,TATAPOWER.NS
1996-02-20,14.610359191894531,14.977066040039062,14.523508071899414,14.784062385559082,7.897672176361084,1205678.0,TATAPOWER.NS
1996-02-21,14.784062385559082,14.784062385559082,14.784062385559082,14.784062385559082,7.897672176361084,0.0,TATAPOWER.NS
1996-02-22,14.784062385559082,14.981890678405762,14.716510772705078,14.943289756774902,7.98273229598999,283414.0,TATAPOWER.NS
1996-02-23,14.943289756774902,15.440274238586426,14.8612642288208,15.088043212890625,8.06005859375,495327.0,TATAPOWER.NS
1996-02-26,15.088043212890625,15.194194793701172,14.759937286376953,14.798538208007812,7.905405521392822,219167.0,TATAPOWER.NS
1996-02-27,14.798538208007812,14.909515380859375,14.47525691986084,14.595884323120117,7.797146320343018,497400.0,TATAPOWER.NS
